ДОМ|В нём живут люди
САМОЛЁТ|Летает в небе
КОМПЬЮТЕР|Электронное устройство
ПРОГРАММА|Набор команд для компьютера
МЕДВЕДЬ|Крупное лесное животное
АПЕЛЬСИН|Оранжевый фрукт
АВТОМОБИЛЬ|Транспортное средство
ТЕЛЕФОН|Устройство для связи
КАРАНДАШ|Им можно рисовать
УНИВЕРСИТЕТ|Учебное заведение
МОНИТОР|Устройство вывода изображения
КЛАВИАТУРА|Устройство ввода с клавишами
КОСМОНАВТ|Человек, который летает в космос
РАКЕТА|Летательный аппарат для космоса
БИБЛИОТЕКА|Место, где хранится много книг
ЗОНТИК|Защищает от дождя
ХОЛОДИЛЬНИК|Хранит продукты в холоде
ВЕЛОСИПЕД|Транспорт с двумя колёсами
ЧЕМОДАН|В него складывают вещи в поездку
ПИАНИНО|Музыкальный инструмент с клавишами
